region,x,y,z,hemisphere,structure
Right Parietal Opercular Cortex,48.83,-27.44,21.42,R,cortical
Left Planum Polare,-46.57,-5.92,-7.49,L,cortical
Right Planum Polare,48.1,-3.54,-7.14,R,cortical
Left Heschl's Gyrus (includes H1 and H2),-45.27,-20.22,7.08,L,cortical
Right Heschl's Gyrus (includes H1 and H2),46.01,-17.45,7.01,R,cortical
Left Planum Temporale,-52.51,-29.79,10.92,L,cortical
Right Planum Temporale,54.93,-25.17,12.1,R,cortical
Left Supracalcarine Cortex,-16.42,-65.05,15.79,L,cortical
Right Supracalcarine Cortex,3.21,-78.71,13.84,R,cortical
Left Occipital Pole,-17.05,-96.51,6.89,L,cortical
Right Occipital Pole,18.68,-95.15,8.57,R,cortical
L_Thalamus,-10.14,-19.35,6.17,L,subcortical
L_Caudate,-12.69,9.78,9.42,L,subcortical
L_Putamen,-24.89,0.76,0.25,L,subcortical
L_Pallidum,-19.27,-4.7,-1.27,L,subcortical
L_Hippocampus,-24.85,-22.22,-14.34,L,subcortical
L_Amygdala,-22.58,-4.86,-18.14,L,subcortical
L_Accumbens,-9.51,11.44,-7.26,L,subcortical
R_Thalamus,10.89,-18.33,6.58,R,subcortical
R_Caudate,13.28,10.32,10.44,R,subcortical
R_Putamen,25.49,1.94,0.25,R,subcortical
R_Pallidum,19.98,-3.85,-1.13,R,subcortical
R_Hippocampus,26.37,-20.59,-14.67,R,subcortical
R_Amygdala,22.99,-3.7,-18.08,R,subcortical
R_Accumbens,9.48,12.1,-6.64,R,subcortical
