region,x,y,z,hemisphere,structure
R G_front_inf-Orbital,49.52,33.13,-7.19,R,cortical
R G_front_inf-Triangul,52.19,28.8,8.48,R,cortical
R G_front_middle,39.66,29.64,33.92,R,cortical
R G_front_sup,10.18,26.86,46.75,R,cortical
R G_Ins_lg_and_S_cent_ins,39.58,-4.7,-1.93,R,cortical
R G_insular_short,38.62,10.26,-1.58,R,cortical
R G_occipital_middle,40.93,-81.29,14.61,R,cortical
R G_occipital_sup,19.05,-85.21,32.94,R,cortical
R G_oc-temp_lat-fusifor,33.81,-51.05,-18.33,R,cortical
R G_oc-temp_med-Lingual,11.48,-66.6,-3.57,R,cortical
R G_oc-temp_med-Parahip,24.89,-16.31,-25.38,R,cortical
R G_orbital,28.48,34.67,-16.83,R,cortical
R G_pariet_inf-Angular,45.91,-61.96,39.71,R,cortical
R G_pariet_inf-Supramar,57.66,-32.35,32.24,R,cortical
R G_parietal_sup,22.32,-56.27,61.69,R,cortical
R G_postcentral,44.29,-23.42,55.06,R,cortical
R G_precentral,42.11,-7.9,51.54,R,cortical
R G_precuneus,6.12,-59.35,43.86,R,cortical
R G_rectus,5.53,33.17,-20.08,R,cortical
R G_subcallosal,5.37,14.53,-12.22,R,cortical
R G_temp_sup-G_T_transv,48.03,-17.29,7.16,R,cortical
R G_temp_sup-Lateral,59.87,-9.09,-4.52,R,cortical
R G_temp_sup-Plan_polar,43.04,5.04,-18.16,R,cortical
R G_temp_sup-Plan_tempo,57.96,-31.51,17.83,R,cortical
R G_temporal_inf,53.27,-32.86,-25.28,R,cortical
R G_temporal_middle,61.33,-28.07,-12.28,R,cortical
R Lat_Fis-ant-Horizont,41.46,28.37,2.7,R,cortical
R Lat_Fis-ant-Vertical,45.39,20.79,9.55,R,cortical
R Lat_Fis-post,40.53,-27.82,18.42,R,cortical
R Pole_occipital,17.79,-95.7,-1.59,R,cortical
R Pole_temporal,37.52,7.67,-36.51,R,cortical
R S_calcarine,17.92,-64.03,6.25,R,cortical
R S_central,35.89,-19.39,46.7,R,cortical
R S_cingul-Marginalis,13.06,-36.31,48.03,R,cortical
R S_circular_insula_ant,31.83,22.85,-6.11,R,cortical
R S_circular_insula_inf,42.8,-11.08,-6.91,R,cortical
R S_circular_insula_sup,36.65,7.04,11.12,R,cortical
R S_collat_transv_ant,42.61,-20.95,-25.3,R,cortical
R S_collat_transv_post,26.16,-78.05,-7.81,R,cortical
R S_front_inf,39.72,25.09,22.09,R,cortical
R S_front_middle,28.88,41.8,22.0,R,cortical
R S_front_sup,24.18,19.15,46.2,R,cortical
R S_interm_prim-Jensen,44.34,-44.62,38.38,R,cortical
R S_intrapariet_and_P_trans,29.83,-56.65,44.16,R,cortical
R S_oc_middle_and_Lunatus,33.5,-82.78,7.3,R,cortical
R S_oc_sup_and_transversal,28.22,-76.99,22.98,R,cortical
R S_occipital_ant,43.7,-66.36,4.26,R,cortical
R S_oc-temp_lat,43.89,-50.54,-13.63,R,cortical
R S_oc-temp_med_and_Lingual,30.32,-48.08,-10.66,R,cortical
R S_orbital_lateral,42.72,40.57,-1.2,R,cortical
R S_orbital_med-olfact,13.75,23.42,-16.57,R,cortical
R S_orbital-H_Shaped,26.11,35.8,-12.66,R,cortical
R S_parieto_occipital,17.16,-67.14,25.67,R,cortical
R S_pericallosal,6.22,-3.64,21.58,R,cortical
R S_postcentral,36.77,-33.38,47.69,R,cortical
R S_precentral-inf-part,43.21,5.78,29.34,R,cortical
R S_precentral-sup-part,27.5,-7.93,54.3,R,cortical
R S_suborbital,7.93,41.0,-12.02,R,cortical
R S_subparietal,9.98,-48.8,37.29,R,cortical
R S_temporal_inf,53.21,-23.38,-21.72,R,cortical
R S_temporal_sup,50.09,-38.25,4.34,R,cortical
R S_temporal_transverse,52.57,-22.04,6.36,R,cortical
L_Thalamus,-10.14,-19.35,6.17,L,subcortical
L_Caudate,-12.69,9.78,9.42,L,subcortical
L_Putamen,-24.89,0.76,0.25,L,subcortical
L_Pallidum,-19.27,-4.7,-1.27,L,subcortical
L_Hippocampus,-24.85,-22.22,-14.34,L,subcortical
L_Amygdala,-22.58,-4.86,-18.14,L,subcortical
L_Accumbens,-9.51,11.44,-7.26,L,subcortical
R_Thalamus,10.89,-18.33,6.58,R,subcortical
R_Caudate,13.28,10.32,10.44,R,subcortical
R_Putamen,25.49,1.94,0.25,R,subcortical
R_Pallidum,19.98,-3.85,-1.13,R,subcortical
R_Hippocampus,26.37,-20.59,-14.67,R,subcortical
R_Amygdala,22.99,-3.7,-18.08,R,subcortical
R_Accumbens,9.48,12.1,-6.64,R,subcortical
